X;Y;Trunk;Max H;Area;Trunk/max H;Crown D;tree diameter;Trunk Vol;C %;Tot C;mass 1;mass 2;mass 3;;;;;;;
;;m;m;m2;;m2;m;m3;;m3;ton/m3;ton/m3;ton/m3;;Tot C;;;771.483;;m3
533174.23;152659.79;5.52;11;131.75;0.502;12.96;0.5998;1.5587;0.779;;;;;;;;;;;
533351.28;152656.6;6.31;9.2;158.25;0.686;14.20;0.6609;2.1632;1.082;;;;;;;;;;;
532974.63;152701.37;6.6;10.6;44.5;0.623;7.53;0.3331;0.5750;0.287;;;;;;;;;;;
533183.45;153011.7;7.2;10.7;62.75;0.673;8.94;0.4025;0.9156;0.458;;;;;;;;;;;
532806.89;152639.01;6.23;13.3;194.5;0.468;15.74;0.7366;2.6538;1.327;;;;;;;;;;;
533038.23;152969.65;4.91;12.2;46.75;0.402;7.72;0.3424;0.4518;0.226;;;;;;;;;;;
533387.01;152346.61;8.73;12.8;222.75;0.682;16.85;0.7909;4.2869;2.143;;;;;;;;;;;
532998.94;153003.1;4.87;8;70;0.609;9.44;0.4272;0.6976;0.349;;;;;;;;;;;
533212.33;152871.77;5.18;8.5;61.25;0.609;8.83;0.3972;0.6416;0.321;;;;;;;;;;;
533101.06;152895.49;9.1;15.7;163.5;0.580;14.43;0.6723;3.2291;1.615;;;;;;;;;;;
533497.64;152603.95;9.13;15.1;105;0.605;11.57;0.5315;2.0244;1.012;;;;;;;;;;;
532886.14;152808.94;5.03;6.7;16.5;0.751;4.58;0.1884;0.1402;0.070;;;;;;;;;;;
532671.5;151993.67;16.48;20.2;226.25;0.816;16.98;0.7974;8.2257;4.113;;;;;;;;;;;
533219.46;152752.81;6.36;15.6;141.5;0.408;13.43;0.6229;1.9371;0.969;;;;;;;;;;;
533434.2;152578.41;4.17;5.9;41.75;0.707;7.29;0.3215;0.3384;0.169;;;;;;;;;;;
533453.47;152376.05;5.66;9.2;57;0.615;8.52;0.3819;0.6479;0.324;;;;;;;;;;;
533093.95;152930.56;8.44;17.8;189;0.474;15.52;0.7256;3.4885;1.744;;;;;;;;;;;
533332.76;152342.58;8.72;14.4;239.25;0.606;17.46;0.8210;4.6142;2.307;;;;;;;;;;;
