OBJECTID,pointid,grid_code,POINT_X,POINT_Y
528,3227772,12.80000019,532615.75,152049.75
529,3227773,13.30000019,532616.25,152049.75
530,3227774,13,532616.75,152049.75
531,3227775,13.30000019,532617.25,152049.75
532,3227776,8.199999809,532617.75,152049.75
533,3227777,11.89999962,532618.25,152049.75
534,3227778,13.80000019,532619.25,152049.75
535,3227779,7.599999905,532619.75,152049.75
536,3227780,14.19999981,532620.25,152049.75
537,3227781,13.39999962,532620.75,152049.75
538,3227782,13.60000038,532621.25,152049.75
539,3227783,12.80000019,532622.25,152049.75
540,3227784,13.60000038,532622.75,152049.75
541,3227785,13.19999981,532623.25,152049.75
542,3227786,12.89999962,532623.75,152049.75
543,3227787,13,532624.25,152049.75
544,3227788,13.39999962,532624.75,152049.75
545,3227789,14.19999981,532625.25,152049.75
546,3227790,13.30000019,532625.75,152049.75
547,3227791,13,532626.25,152049.75
548,3227792,11.69999981,532626.75,152049.75
549,3227793,10.80000019,532627.25,152049.75
550,3227794,10.69999981,532627.75,152049.75
551,3227795,11.10000038,532628.25,152049.75
552,3227796,8.399999619,532628.75,152049.75
555,3228380,6.300000191,532605.25,152049.25
557,3228382,9.399999619,532606.25,152049.25
558,3228383,9.699999809,532606.75,152049.25
559,3228384,10.60000038,532607.25,152049.25
560,3228385,13,532607.75,152049.25
561,3228386,13.19999981,532608.25,152049.25
562,3228387,13,532608.75,152049.25
563,3228388,13.19999981,532609.25,152049.25
564,3228389,12.80000019,532609.75,152049.25
565,3228390,13.60000038,532610.25,152049.25
566,3228391,13.80000019,532610.75,152049.25
567,3228392,13.89999962,532611.25,152049.25
568,3228393,13.19999981,532611.75,152049.25
569,3228394,13.30000019,532612.25,152049.25
570,3228395,14,532612.75,152049.25
571,3228396,13.30000019,532613.25,152049.25
572,3228397,14,532613.75,152049.25
573,3228398,10.39999962,532614.25,152049.25
574,3228399,10.89999962,532614.75,152049.25
575,3228400,8.399999619,532615.25,152049.25
576,3228401,8.399999619,532615.75,152049.25
577,3228402,13.89999962,532616.25,152049.25
578,3228403,13.5,532616.75,152049.25
579,3228404,10.30000019,532617.25,152049.25
580,3228405,13.60000038,532617.75,152049.25
581,3228406,12.19999981,532618.25,152049.25
582,3228407,7.5,532618.75,152049.25
583,3228408,13.39999962,532619.25,152049.25
584,3228409,12.30000019,532619.75,152049.25
585,3228410,15,532620.25,152049.25
586,3228411,13.5,532620.75,152049.25
587,3228412,12.89999962,532621.25,152049.25
588,3228413,14.5,532621.75,152049.25
589,3228414,12.89999962,532622.25,152049.25
590,3228415,14,532622.75,152049.25
591,3228416,13.80000019,532623.25,152049.25
592,3228417,13.10000038,532623.75,152049.25
593,3228418,13.30000019,532624.25,152049.25
594,3228419,13.80000019,532624.75,152049.25
595,3228420,14,532625.25,152049.25
596,3228421,13.69999981,532625.75,152049.25
597,3228422,13,532626.25,152049.25
598,3228423,7.5,532626.75,152049.25
599,3228424,10.5,532627.25,152049.25
600,3228425,11,532627.75,152049.25
601,3228426,10.80000019,532628.25,152049.25
602,3228427,8.600000381,532628.75,152049.25
603,3228428,7.900000095,532629.25,152049.25
607,3229019,6.5,532605.75,152048.75
608,3229020,8.5,532606.25,152048.75
609,3229021,9.199999809,532606.75,152048.75
610,3229022,11.69999981,532607.25,152048.75
611,3229023,11.60000038,532607.75,152048.75
612,3229024,12.10000038,532608.25,152048.75
613,3229025,12.39999962,532608.75,152048.75
614,3229026,13.10000038,532609.25,152048.75
615,3229027,13,532609.75,152048.75
616,3229028,12.80000019,532610.25,152048.75
617,3229029,13.60000038,532610.75,152048.75
618,3229030,12.5,532611.25,152048.75
619,3229031,13.5,532611.75,152048.75
620,3229032,12.69999981,532612.25,152048.75
621,3229033,14.30000019,532612.75,152048.75
622,3229034,14.60000038,532613.25,152048.75
623,3229035,13.30000019,532613.75,152048.75
624,3229036,12.80000019,532614.25,152048.75
625,3229037,10.10000038,532615.25,152048.75
626,3229038,12.10000038,532615.75,152048.75
627,3229039,8.699999809,532616.25,152048.75
628,3229040,11.39999962,532616.75,152048.75
629,3229041,13.5,532617.25,152048.75
630,3229042,12.89999962,532617.75,152048.75
631,3229043,14,532618.25,152048.75
632,3229044,13.5,532618.75,152048.75
633,3229045,12.30000019,532619.25,152048.75
